shock_id,baseline_year,epsilon_margin,dominating_country,dominated_country,edge_type
2007,2007,0.0,AUT,GRC,epsilon_margin_hasse_cover_relation
2007,2007,0.0,AUT,ITA,epsilon_margin_hasse_cover_relation
2007,2007,0.0,AUT,PRT,epsilon_margin_hasse_cover_relation
2007,2007,0.0,CAN,BEL,epsilon_margin_hasse_cover_relation
2007,2007,0.0,CAN,GRC,epsilon_margin_hasse_cover_relation
2007,2007,0.0,CAN,HUN,epsilon_margin_hasse_cover_relation
2007,2007,0.0,CAN,POL,epsilon_margin_hasse_cover_relation
2007,2007,0.0,CAN,PRT,epsilon_margin_hasse_cover_relation
2007,2007,0.0,CZE,ITA,epsilon_margin_hasse_cover_relation
2007,2007,0.0,CZE,PRT,epsilon_margin_hasse_cover_relation
2007,2007,0.0,DNK,AUT,epsilon_margin_hasse_cover_relation
2007,2007,0.0,DNK,DEU,epsilon_margin_hasse_cover_relation
2007,2007,0.0,DNK,ESP,epsilon_margin_hasse_cover_relation
2007,2007,0.0,DNK,FRA,epsilon_margin_hasse_cover_relation
2007,2007,0.0,DNK,NLD,epsilon_margin_hasse_cover_relation
2007,2007,0.0,DNK,POL,epsilon_margin_hasse_cover_relation
2007,2007,0.0,DNK,SVK,epsilon_margin_hasse_cover_relation
2007,2007,0.0,EST,GRC,epsilon_margin_hasse_cover_relation
2007,2007,0.0,EST,HUN,epsilon_margin_hasse_cover_relation
2007,2007,0.0,EST,LVA,epsilon_margin_hasse_cover_relation
2007,2007,0.0,EST,POL,epsilon_margin_hasse_cover_relation
2007,2007,0.0,FIN,BEL,epsilon_margin_hasse_cover_relation
2007,2007,0.0,FIN,DEU,epsilon_margin_hasse_cover_relation
2007,2007,0.0,FIN,GRC,epsilon_margin_hasse_cover_relation
2007,2007,0.0,FIN,HUN,epsilon_margin_hasse_cover_relation
2007,2007,0.0,FIN,PRT,epsilon_margin_hasse_cover_relation
2007,2007,0.0,FRA,GRC,epsilon_margin_hasse_cover_relation
2007,2007,0.0,GBR,GRC,epsilon_margin_hasse_cover_relation
2007,2007,0.0,GBR,ITA,epsilon_margin_hasse_cover_relation
2007,2007,0.0,LTU,GRC,epsilon_margin_hasse_cover_relation
2007,2007,0.0,LTU,SVK,epsilon_margin_hasse_cover_relation
2007,2007,0.0,LVA,SVK,epsilon_margin_hasse_cover_relation
2007,2007,0.0,NLD,GRC,epsilon_margin_hasse_cover_relation
2007,2007,0.0,NLD,HUN,epsilon_margin_hasse_cover_relation
2007,2007,0.0,NLD,ITA,epsilon_margin_hasse_cover_relation
2007,2007,0.0,NLD,PRT,epsilon_margin_hasse_cover_relation
2007,2007,0.0,SVN,HUN,epsilon_margin_hasse_cover_relation
2007,2007,0.0,SVN,ITA,epsilon_margin_hasse_cover_relation
2007,2007,0.0,SVN,PRT,epsilon_margin_hasse_cover_relation
2007,2007,0.0,SVN,SVK,epsilon_margin_hasse_cover_relation
2007,2007,0.0,SWE,DEU,epsilon_margin_hasse_cover_relation
2007,2007,0.0,SWE,FRA,epsilon_margin_hasse_cover_relation
2007,2007,0.0,SWE,HUN,epsilon_margin_hasse_cover_relation
2007,2007,0.0,SWE,PRT,epsilon_margin_hasse_cover_relation
2007,2007,0.0,USA,AUT,epsilon_margin_hasse_cover_relation
2007,2007,0.0,USA,BEL,epsilon_margin_hasse_cover_relation
2007,2007,0.0,USA,DEU,epsilon_margin_hasse_cover_relation
2007,2007,0.0,USA,FRA,epsilon_margin_hasse_cover_relation
2007,2007,0.0,USA,HUN,epsilon_margin_hasse_cover_relation
2007,2007,0.05,AUT,GRC,epsilon_margin_hasse_cover_relation
2007,2007,0.05,AUT,ITA,epsilon_margin_hasse_cover_relation
2007,2007,0.05,AUT,PRT,epsilon_margin_hasse_cover_relation
2007,2007,0.05,CAN,BEL,epsilon_margin_hasse_cover_relation
2007,2007,0.05,CAN,GRC,epsilon_margin_hasse_cover_relation
2007,2007,0.05,CAN,HUN,epsilon_margin_hasse_cover_relation
2007,2007,0.05,CAN,POL,epsilon_margin_hasse_cover_relation
2007,2007,0.05,CAN,PRT,epsilon_margin_hasse_cover_relation
2007,2007,0.05,CZE,ITA,epsilon_margin_hasse_cover_relation
2007,2007,0.05,CZE,PRT,epsilon_margin_hasse_cover_relation
2007,2007,0.05,DNK,AUT,epsilon_margin_hasse_cover_relation
2007,2007,0.05,DNK,DEU,epsilon_margin_hasse_cover_relation
2007,2007,0.05,DNK,ESP,epsilon_margin_hasse_cover_relation
2007,2007,0.05,DNK,FRA,epsilon_margin_hasse_cover_relation
2007,2007,0.05,DNK,NLD,epsilon_margin_hasse_cover_relation
2007,2007,0.05,DNK,POL,epsilon_margin_hasse_cover_relation
