file_name,processed_exists,diagnostics_exists,tables_exists
epsilon_dominance_relations.csv,True,True,True
epsilon_country_summary.csv,True,True,True
epsilon_cycle_diagnostics.csv,True,True,True
epsilon_validity_diagnostics.csv,True,True,True
epsilon_run_summary.csv,True,True,True
epsilon_frontier_stability_summary.csv,True,True,True
working_main_epsilon_run_summary.csv,True,True,True
working_main_epsilon_frontier_stability_summary.csv,True,True,True
report_ready_epsilon_sensitivity_notes.csv,True,True,True
methodological_decision_updates_epsilon_sensitivity.csv,True,True,True
