"country","year","Approval_Not_Smoothed"
"Bulgaria",1997,52.029259
"Bulgaria",1998,47.201061
"Bulgaria",1999,45.44244
"Bulgaria",2000,38.81908
"Bulgaria",2001,50.552078
"Bulgaria",2002,42.899841
"Bulgaria",2003,34.49712
"Bulgaria",2004,34.908798
"Bulgaria",2005,39.356319
"Bulgaria",2006,40.76281
"Bulgaria",2007,38.33337
"Bulgaria",2008,32.347889
"Bulgaria",2009,43.168701
"Bulgaria",2010,49.199791
"Bulgaria",2011,42.3666
"Bulgaria",2012,41.688801
"Bulgaria",2013,37.200649
"Bulgaria",2014,31.45507
"Bulgaria",2015,38.203892
"Bulgaria",2016,37.340321
"Bulgaria",2017,35.645199
"Bulgaria",2018,41.617538
"Bulgaria",1990,61.650719
"Bulgaria",1991,57.049068
"Bulgaria",1992,59.745441
"Bulgaria",1993,56.794392
"Bulgaria",1994,47.511501
"Bulgaria",1995,44.703709
"Bulgaria",1996,32.00182
"Bulgaria",1997,64.839569
"Bulgaria",1998,68.369362
"Bulgaria",1999,62.75378
"Bulgaria",2000,59.659481
"Bulgaria",2001,50.987808
"Bulgaria",2002,50.018459
"Bulgaria",2003,56.202278
"Bulgaria",2004,63.823421
"Bulgaria",2005,66.564346
"Bulgaria",2006,56.10677
"Bulgaria",2007,53.929298
"Bulgaria",2008,45.753021
"Bulgaria",2009,45.302959
"Bulgaria",2010,39.190102
"Bulgaria",2011,40.517712
"Bulgaria",2012,43.590172
"Bulgaria",2013,41.694592
"Bulgaria",2014,32.854969
"Bulgaria",2015,32.31451
"Bulgaria",2016,29.43903
"Bulgaria",2017,55.742481
"Bulgaria",2018,57.16354
"Canada",1978,36.906689
"Canada",1979,38.696629
"Canada",1980,42.58429
"Canada",1981,39.042961
"Canada",1982,30.411699
"Canada",1983,35.50631
"Canada",1984,45.213039
"Canada",1985,48.19239
"Canada",1986,41.467861
"Canada",1987,37.291779
"Canada",1988,46.706211
"Canada",1989,39.256721
"Canada",1990,29.99847
"Canada",1991,26.107019
"Canada",1992,26.623711
"Canada",1993,31.73053
"Canada",1994,55.120621
"Canada",1995,52.562019
"Canada",1996,48.573792
"Canada",1997,47.772179
"Canada",1998,51.779079
"Canada",1999,50.657471
"Canada",2000,48.447552
"Canada",2001,48.31889
"Canada",2002,37.37484
"Canada",2003,45.06995
"Canada",2004,47.593491
"Canada",2005,40.743351
"Canada",2006,50.488079
"Canada",2007,46.043751
"Canada",2008,42.075111
"Canada",2009,42.619732
"Canada",2010,41.90028
"Canada",2011,47.19788
"Canada",2012,39.512562
"Canada",2013,31.92256
"Canada",2014,38.870251
"Canada",2015,39.835522
"Canada",2016,57.74765
"Canada",2017,50.369041
"Canada",2018,42.261452
"Chile",1990,67.43824
"Chile",1991,60.595131
"Chile",1992,56.25153
"Chile",1993,57.418621
"Chile",1994,61.880798
"Chile",1995,49.99054
"Chile",1996,47.56852
"Chile",1997,44.838348
"Chile",1998,45.278149
"Chile",1999,39.791409
"Chile",2000,51.662868
"Chile",2001,46.0238
"Chile",2002,46.697121
"Chile",2003,49.250278
"Chile",2004,56.306499
"Chile",2005,58.501301
"Chile",2006,53.188831
"Chile",2007,43.855911
"Chile",2008,44.57856
"Chile",2009,63.690849
"Chile",2010,48.870461
"Chile",2011,31.54417
"Chile",2012,32.681252
"Chile",2013,35.337212
"Chile",2014,44.46513
"Chile",2015,33.801521
"Chile",2016,26.761681
"Chile",2017,29.90564
"Chile",2018,44.454708
"Chile",2019,39.990089
"Colombia",1994,59.3479
"Colombia",1995,51.549351
"Colombia",1996,42.27623
"Colombia",1997,37.591412
"Colombia",1998,38.459591
"Colombia",1999,32.392319
"Colombia",2000,29.5959
"Colombia",2001,30.470591
"Colombia",2002,41.009769
"Colombia",2003,62.515171
"Colombia",2004,64.856628
"Colombia",2005,62.445412
"Colombia",2006,61.12199
"Colombia",2007,59.893429
"Colombia",2008,68.511612
"Colombia",2009,61.609718
"Colombia",2010,63.27013
"Colombia",2011,60.139931
"Colombia",2012,54.297581
"Colombia",2013,41.230629
"Colombia",2014,40.79211
"Colombia",2015,39.435188
"Colombia",2016,31.695761
"Colombia",2017,26.689381
"Colombia",2018,35.979622
"Costa Rica",1978,51.253059
"Costa Rica",1979,32.756451
"Costa Rica",1980,22.412849
"Costa Rica",1981,13.36219
"Costa Rica",1982,26.455641
"Costa Rica",1983,49.95858
"Costa Rica",1984,39.908821
"Costa Rica",1985,42.72422
"Costa Rica",1986,57.1101
"Costa Rica",1987,58.025539
"Costa Rica",1988,40.968048
"Costa Rica",1989,54.69471
"Costa Rica",1990,48.272369
"Costa Rica",1991,28.96888
"Costa Rica",1992,37.595879
"Costa Rica",1993,39.59803
"Costa Rica",1994,44.78595
"Costa Rica",1995,24.924299
"Costa Rica",1996,19.4424
"Costa Rica",1997,21.60561
"Costa Rica",1998,30.57929
"Costa Rica",1999,27.643921
"Costa Rica",2000,26.47533
"Costa Rica",2001,34.11063
"Costa Rica",2002,46.929619
"Costa Rica",2003,35.653252
"Costa Rica",2004,38.493649
"Costa Rica",2005,30.79373
"Costa Rica",2006,42.431358
"Costa Rica",2007,48.521919
"Costa Rica",2008,43.566448
"Costa Rica",2009,53.463032
"Costa Rica",2010,50.249439
"Costa Rica",2011,37.388069
"Costa Rica",2012,33.546371
"Costa Rica",2013,19.85063
"Costa Rica",2014,36.54512
"Costa Rica",2015,26.17625
"Costa Rica",2016,26.17421
"Costa Rica",2017,39.885021
"Costa Rica",2018,38.07103
"Costa Rica",2019,33.936539
"Croatia",2007,61.17564
"Croatia",2008,53.003571
"Croatia",2009,44.773499
"Croatia",2010,46.489738
"Croatia",2011,46.152302
"Croatia",2012,46.71101
"Croatia",2013,46.7267
"Croatia",2014,41.020069
"Croatia",2015,39.108959
"Croatia",2016,36.704781
"Croatia",2017,32.92844
"Croatia",2018,36.32048
"Czechia",1990,78.994911
"Czechia",1991,77.088608
"Czechia",1992,73.822388
"Czechia",1993,60.575111
"Czechia",1994,61.314209
"Czechia",1995,66.571442
"Czechia",1996,71.060677
"Czechia",1997,65.336166
"Czechia",1998,52.21701
"Czechia",1999,40.78196
"Czechia",2000,44.30793
"Czechia",2001,43.909481
"Czechia",2002,43.295231
"Czechia",2003,51.666088
"Czechia",2004,64.742378
"Czechia",2005,63.39584
"Czechia",2006,63.568661
"Czechia",2007,62.053921
"Czechia",2008,57.164619
"Czechia",2009,54.421188
"Czechia",2010,58.87524
"Czechia",2011,51.83313
"Czechia",2012,46.45306
"Czechia",2013,34.280621
"Czechia",2014,39.255692
"Czechia",2015,41.189411
"Czechia",2016,50.823132
"Czechia",2017,43.616692
"Czechia",2018,48.711288
"Czechia",1991,52.121819
"Czechia",1992,40.969219
"Czechia",1993,40.969219
"Czechia",1994,40.969219
"Czechia",1995,40.969219
"Czechia",1996,42.69537
"Czechia",1997,44.374512
"Czechia",1998,78.414711
"Czechia",1999,62.736671
"Czechia",2000,63.659229
"Czechia",2001,48.876598
"Czechia",2002,49.974548
"Czechia",2003,49.184601
"Czechia",2004,32.563599
"Czechia",2005,38.791611
"Czechia",2006,54.098309
"Czechia",2007,31.357269
"Czechia",2008,36.893162
"Czechia",2009,36.17625
"Czechia",2010,58.882801
"Czechia",2011,36.894409
"Czechia",2012,32.91774
"Czechia",2013,23.44315
"Czechia",2014,44.26973
"Czechia",2015,53.708229
"Czechia",2016,48.543091
"Czechia",2017,41.79845
"Czechia",2018,46.561031
"Czechia",1998,59.50988
"Czechia",1999,37.010159
"Czechia",2000,53.301331
"Czechia",2001,36.9147
"Czechia",2002,26.885281
"Czechia",2003,49.384998
"Czechia",2004,25.7603
"Czechia",2005,34.286442
"Czechia",2006,55.868881
"Czechia",2007,24.59878
"Czechia",2008,23.22476
"Czechia",2009,24.34709
"Czechia",2010,66.481308
"Czechia",2011,31.38368
"Czechia",2012,29.31093
"Czechia",2013,13.72484
"Czechia",2014,32.75145
"Czechia",2015,46.155682
"Czechia",2016,38.064758
"Czechia",2017,27.32975
"Czechia",2018,40.798809
"Czechia",1990,78.733841
"Czechia",1991,76.746964
"Czechia",1992,73.476151
"Czechia",1993,60.00605
"Czechia",1994,60.75758
"Czechia",1995,66.148552
"Czechia",1996,70.665962
"Czechia",1997,64.962067
"Czechia",1998,51.503719
"Czechia",1999,39.743622
"Czechia",2000,43.312679
"Czechia",2001,42.875751
"Czechia",2002,42.254589
"Czechia",2003,50.794472
"Czechia",2004,64.771179
"Czechia",2005,63.117981
"Czechia",2006,63.15963
"Czechia",2007,63.328388
"Czechia",2008,56.698769
"Czechia",2009,53.842911
"Czechia",2010,57.204529
"Czechia",2011,52.008091
"Czechia",2012,46.53867
"Czechia",2013,33.151772
"Czechia",2014,36.612041
"Czechia",2015,38.473492
"Czechia",2016,50.1474
"Czechia",2017,42.63945
"Czechia",2018,47.562382
"Denmark",1946,48.44141
"Denmark",1947,46.96843
"Denmark",1948,47.41032
"Denmark",1949,47.852219
"Denmark",1950,36.362961
"Denmark",1951,33.71159
"Denmark",1952,36.362961
"Denmark",1953,54.038738
"Denmark",1954,29.88184
"Denmark",1955,28.998051
"Denmark",1956,31.06023
"Denmark",1957,31.06023
"Denmark",1958,34.595379
"Denmark",1959,41.608559
"Denmark",1960,48.146809
"Denmark",1961,49.619789
"Denmark",1962,35.479172
"Denmark",1963,33.71159
"Denmark",1964,39.898121
"Denmark",1965,28.408859
"Denmark",1966,27.96697
"Denmark",1967,27.083179
"Denmark",1968,40.340012
"Denmark",1969,30.176439
"Denmark",1970,33.1731
"Denmark",1971,29.282681
"Denmark",1972,28.840851
"Denmark",1973,23.097031
"Denmark",1974,34.202049
"Denmark",1975,33.107021
"Denmark",1976,30.161671
"Denmark",1977,33.107021
"Denmark",1978,31.48708
"Denmark",1979,27.95265
"Denmark",1980,25.4491
"Denmark",1981,26.345409
"Denmark",1982,34.06657
"Denmark",1983,53.991039
"Denmark",1984,48.59304
"Denmark",1985,45.41721
"Denmark",1986,43.269119
"Denmark",1987,35.058128
"Denmark",1988,30.057091
"Denmark",1989,26.867451
"Denmark",1990,28.37781
"Denmark",1991,33.2365
"Denmark",1992,35.003288
"Denmark",1993,26.49851
"Denmark",1994,27.81284
"Denmark",1995,29.10058
"Denmark",1996,30.20833
"Denmark",1997,33.39468
"Denmark",1998,30.15254
"Denmark",1999,39.859032
"Denmark",2000,31.97224
"Denmark",2001,39.045261
"Denmark",2002,39.045261
"Denmark",2003,33.740501
"Denmark",2004,39.573231
"Denmark",2005,39.573231
"Denmark",2006,43.4659
"Denmark",2007,47.933479
"Denmark",2008,61.909821
"Denmark",2009,42.031609
"Denmark",2010,40.630569
"Denmark",2011,42.048538
"Denmark",2012,61.909821
"Denmark",2013,36.981659
"Denmark",2014,51.438549
"Dominican Republic",2000,54.930908
"Dominican Republic",2001,46.14793
"Dominican Republic",2002,46.14793
"Dominican Republic",2003,35.337399
"Dominican Republic",2004,39.421028
"Dominican Republic",2005,64.947182
"Dominican Republic",2006,63.268391
"Dominican Republic",2007,53.779099
"Dominican Republic",2008,59.416031
"Dominican Republic",2009,55.165741
"Dominican Republic",2010,55.617401
"Dominican Republic",2011,46.262371
"Dominican Republic",2012,48.2906
"Dominican Republic",2013,74.893021
"Dominican Republic",2014,81.426239
"Dominican Republic",2015,76.958252
"Dominican Republic",2016,71.048607
"Dominican Republic",2017,62.92979
"Dominican Republic",2018,51.006439
"Dominican Republic",2019,46.36755
"Ecuador",1979,77.512939
"Ecuador",1980,63.787189
"Ecuador",1981,53.983089
"Ecuador",1982,37.316109
"Ecuador",1983,40.257339
"Ecuador",1984,49.407841
"Ecuador",1985,43.19857
"Ecuador",1986,38.29652
"Ecuador",1987,42.218159
"Ecuador",1988,45.512459
"Ecuador",1989,36.566181
"Ecuador",1990,34.970772
"Ecuador",1991,34.026619
"Ecuador",1992,48.725658
"Ecuador",1993,38.59964
"Ecuador",1994,33.691021
"Ecuador",1995,48.000351
"Ecuador",1996,53.675751
"Ecuador",1997,51.018002
"Ecuador",1998,52.714649
"Ecuador",1999,31.60158
"Ecuador",2000,51.443531
"Ecuador",2001,51.331032
"Ecuador",2002,55.84222
"Ecuador",2003,58.635811
"Ecuador",2004,41.87957
"Ecuador",2005,47.638451
"Ecuador",2006,38.78183
"Ecuador",2007,82.053192
"Ecuador",2008,72.644508
"Ecuador",2009,67.762787
"Ecuador",2010,65.59568
"Ecuador",2011,72.299591
"Ecuador",2012,74.4515
"Ecuador",2013,82.9888
"Ecuador",2014,81.351921
"Ecuador",2015,61.462429
"Ecuador",2016,51.557869
"Ecuador",2017,75.940697
"Ecuador",2018,59.672138
"El Salvador",1986,37.44566
"El Salvador",1987,36.591019
"El Salvador",1988,39.598259
"El Salvador",1989,54.078701
"El Salvador",1990,49.742039
"El Salvador",1991,43.744381
"El Salvador",1992,48.996078
"El Salvador",1993,51.34901
"El Salvador",1994,55.362919
"El Salvador",1995,33.721581
"El Salvador",1996,34.908852
"El Salvador",1997,42.730461
"El Salvador",1998,46.328949
"El Salvador",1999,47.633678
"El Salvador",2000,48.66259
"El Salvador",2001,57.160172
"El Salvador",2002,53.19241
"El Salvador",2003,55.845039
"El Salvador",2004,69.432381
"El Salvador",2005,68.07032
"El Salvador",2006,55.902271
"El Salvador",2007,53.00359
"El Salvador",2008,50.299419
"El Salvador",2009,82.230042
"El Salvador",2010,78.274406
"El Salvador",2011,71.947273
"El Salvador",2012,66.590584
"El Salvador",2013,73.017532
"El Salvador",2014,61.742119
"El Salvador",2015,46.00309
"El Salvador",2016,40.330669
"El Salvador",2017,34.515572
"El Salvador",2018,31.84597
"El Salvador",2019,33.652641
"France",1958,58.486912
"France",1959,54.01075
"France",1960,53.489948
"France",1961,49.455662
"France",1962,46.926552
"France",1963,40.679409
"France",1964,45.423981
"France",1965,53.21664
"France",1966,52.97105
"France",1967,52.065441
"France",1968,51.260269
"France",1969,49.189209
"France",1970,57.929279
"France",1971,60.948849
"France",1972,51.895592
"France",1973,51.726742
"France",1974,45.281818
"France",1975,49.68837
"France",1976,42.04565
"France",1977,42.17651
"France",1978,46.62355
"France",1979,38.635262
"France",1980,35.978352
"France",1981,40.672611
"France",1982,43.918301
"France",1983,31.67477
"France",1984,26.85684
"France",1985,32.979279
"France",1986,46.078972
"France",1987,46.496899
"France",1988,47.882179
"France",1989,43.282509
"France",1990,37.95314
"France",1991,30.49437
"France",1992,25.809429
"France",1993,42.699791
"France",1994,47.787231
"France",1995,42.141079
"France",1996,29.09857
"France",1997,38.57827
"France",1998,54.001999
"France",1999,58.8452
"France",2000,56.066669
"France",2001,53.23238
"France",2002,51.443298
"France",2003,49.898979
"France",2004,40.84827
"France",2005,38.00386
"France",2006,33.63105
"France",2007,53.91317
"France",2008,44.055031
"France",2009,42.559422
"France",2010,38.684368
"France",2011,36.805851
"France",2012,43.461689
"France",2013,25.67432
"France",2014,23.53265
"France",2015,29.432581
"France",2016,17.999451
"France",2017,40.51318
"France",2018,34.805962
"France",2019,23.637751
"France",1959,40.829491
"France",1960,37.72702
"France",1961,34.50399
"France",1962,30.198759
"France",1963,32.757198
"France",1964,38.31517
"France",1965,46.122799
"France",1966,44.226028
"France",1967,44.75536
"France",1968,47.578461
"France",1969,46.519798
"France",1970,56.047749
"France",1971,58.16507
"France",1972,44.40247
"France",1973,45.37291
"France",1974,41.84404
"France",1975,44.578918
"France",1976,36.903622
"France",1977,40.25605
"France",1978,39.373829
"France",1979,33.021858
"France",1980,30.81632
"France",1981,39.90316
"France",1982,43.961361
"France",1983,31.169201
"France",1984,27.72855
"France",1985,38.138729
"France",1986,42.990921
"France",1987,40.697159
"France",1988,44.931801
"France",1989,43.43203
"France",1990,39.28561
"France",1991,27.905001
"France",1992,30.904539
"France",1993,51.955292
"France",1994,52.634048
"France",1995,45.364319
"France",1996,29.117149
"France",1997,41.615879
"France",1998,54.863289
"France",1999,57.51828
"France",2000,53.924122
"France",2001,50.730671
"France",2002,53.646351
"France",2003,44.905041
"France",2004,35.248871
"France",2005,40.55954
"France",2006,36.555908
"France",2007,51.685139
"France",2008,52.540039
"France",2009,49.780338
"France",2010,50.433842
"France",2011,48.759548
"France",2012,49.653809
"France",2013,30.773371
"France",2014,38.562031
"France",2015,41.75153
"France",2016,28.92207
"France",2017,49.143181
"France",2018,40.349941
"France",2019,29.19224
"France",1958,62.02021
"France",1959,61.3876
"France",1960,62.4156
"France",1961,58.619911
"France",1962,57.908218
"France",1963,46.442081
"France",1964,49.446999
"France",1965,55.377762
"France",1966,56.48484
"France",1967,54.666069
"France",1968,51.186691
"France",1969,48.814388
"France",1970,54.824219
"France",1971,57.82914
"France",1972,54.666069
"France",1973,53.638069
"France",1974,46.442081
"France",1975,51.107609
"France",1976,45.335011
"France",1977,42.883629
"France",1978,50.474998
"France",1979,43.120861
"France",1980,40.74855
"France",1981,40.827629
"France",1982,42.6464
"France",1983,33.789799
"France",1984,29.045191
"France",1985,30.310419
"France",1986,46.758389
"France",1987,49.20977
"France",1988,48.023621
"France",1989,42.092861
"France",1990,37.111019
"France",1991,34.501492
"France",1992,24.933189
"France",1993,34.858871
"France",1994,42.02702
"France",1995,38.75771
"France",1996,31.4184
"France",1997,36.16729
"France",1998,49.215321
"France",1999,54.745911
"France",2000,53.56205
"France",2001,51.948318
"France",2002,46.756802
"France",2003,50.878078
"France",2004,44.626019
"France",2005,36.10104
"France",2006,32.34687
"France",2007,52.208679
"France",2008,36.192589
"France",2009,36.537628
"France",2010,30.00135
"France",2011,28.2188
"France",2012,37.693642
"France",2013,25.211411
"France",2014,15.73695
"France",2015,21.87661
"France",2016,14.32137
"France",2017,34.537201
"France",2018,32.59581
"France",2019,23.710091
"Germany",1950,46.97805
"Germany",1951,44.477291
"Germany",1952,52.167122
"Germany",1953,63.629581
"Germany",1954,63.668339
"Germany",1955,64.79364
"Germany",1956,59.29216
"Germany",1957,60.811821
"Germany",1958,60.498428
"Germany",1959,59.87368
"Germany",1960,58.186852
"Germany",1961,61.373081
"Germany",1962,59.373878
"Germany",1963,61.747929
"Germany",1964,61.373081
"Germany",1965,58.653278
"Germany",1966,52.377869
"Germany",1967,73.744812
"Germany",1968,70.55851
"Germany",1969,68.86232
"Germany",1970,63.376179
"Germany",1971,60.93951
"Germany",1972,63.557259
"Germany",1973,61.557892
"Germany",1974,56.497601
"Germany",1975,62.30756
"Germany",1976,62.19791
"Germany",1977,57.805229
"Germany",1978,63.701191
"Germany",1979,68.447472
"Germany",1980,66.681648
"Germany",1981,57.452591
"Germany",1982,52.914139
"Germany",1983,57.51004
"Germany",1984,54.94537
"Germany",1985,51.231651
"Germany",1986,53.54155
"Germany",1987,53.8111
"Germany",1988,47.594978
"Germany",1989,49.17905
"Germany",1990,57.39069
"Germany",1991,49.66835
"Germany",1992,43.985851
"Germany",1993,38.072189
"Germany",1994,44.524719
"Germany",1995,47.41185
"Germany",1996,42.570549
"Germany",1997,38.655521
"Germany",1998,41.433708
"Germany",1999,44.851841
"Germany",2000,50.062649
"Germany",2001,51.197651
"Germany",2002,47.046612
"Germany",2003,37.999481
"Germany",2004,38.484879
"Germany",2005,43.24757
"Germany",2006,49.539742
"Germany",2007,51.500599
"Germany",2008,51.521412
"Germany",2009,52.125961
"Germany",2010,45.114182
"Germany",2011,44.366329
"Germany",2012,51.755299
"Germany",2013,53.998772
"Germany",2014,54.389439
"Germany",2015,52.43327
"Germany",2016,47.684662
"Germany",2017,49.6535
"Germany",2018,45.216091
"Germany",2019,48.873539
"Greece",1989,NA
"Greece",1990,NA
"Greece",1991,NA
"Greece",1992,NA
"Greece",1993,NA
"Greece",1994,NA
"Greece",1995,NA
"Greece",1996,NA
"Greece",1997,45.35788
"Greece",1998,34.129761
"Greece",1999,39.477039
"Greece",2000,44.6325
"Greece",2001,34.365471
"Greece",2002,38.276981
"Greece",2003,37.199848
"Greece",2004,52.895931
"Greece",2005,44.45454
"Greece",2006,41.937859
"Greece",2007,40.005428
"Greece",2008,34.402359
"Greece",2009,34.30143
"Greece",2010,33.995399
"Greece",2011,25.02578
"Greece",2012,36.073212
"Greece",2013,31.88714
"Greece",2014,28.617161
"Greece",2015,41.702999
"Greece",2016,17.86042
"Greece",2017,16.59708
"Greece",2018,18.775669
"Greece",2019,19.096411
"Guatemala",1987,47.8535
"Guatemala",1988,39.584839
"Guatemala",1989,39.584839
"Guatemala",1990,31.14584
"Guatemala",1991,56.96677
"Guatemala",1992,46.87616
"Guatemala",1993,72.06105
"Guatemala",1994,57.633781
"Guatemala",1995,46.955391
"Guatemala",1996,38.738159
"Guatemala",1997,42.557999
"Guatemala",1998,47.515041
"Guatemala",1999,49.603481
"Guatemala",2000,36.04108
"Guatemala",2001,27.382179
"Guatemala",2002,23.943689
"Guatemala",2003,24.540291
"Guatemala",2004,41.293468
"Guatemala",2005,36.91927
"Guatemala",2006,37.026508
"Guatemala",2007,36.79081
"Guatemala",2008,56.266258
"Guatemala",2009,62.935261
"Guatemala",2010,62.432522
"Guatemala",2011,49.303551
"Guatemala",2012,66.035172
"Guatemala",2013,64.170448
"Guatemala",2014,50.410728
"Guatemala",2015,39.142509
"Guatemala",2016,70.80732
"Guatemala",2017,44.968811
"Guatemala",2018,36.193439
"Guatemala",2019,38.637852
"Honduras",1986,40.037281
"Honduras",1987,40.910648
"Honduras",1988,42.366268
"Honduras",1989,36.107128
"Honduras",1990,43.530762
"Honduras",1991,36.29842
"Honduras",1992,41.176319
"Honduras",1993,50.053478
"Honduras",1994,26.62361
"Honduras",1995,24.00412
"Honduras",1996,23.42201
"Honduras",1997,25.168341
"Honduras",1998,49.325851
"Honduras",1999,58.930641
"Honduras",2000,57.03878
"Honduras",2001,66.102051
