shock_id,country_a,country_b,country_pair,ordinal_manhattan_distance_raw,ordinal_manhattan_distance_0_1,ordinal_similarity_0_1,ordinal_euclidean_distance,dimensions_different_count,dimensions_same_count,abs_diff_Debt capacity,abs_diff_Employment strength,abs_diff_R&D intensity,abs_diff_Tertiary human capital,abs_diff_Energy security,continuous_score_euclidean_distance_0_1,continuous_score_similarity_0_1,layer_a,frontier_a,layer_b,frontier_b,same_layer,frontier_pair_type
2007,AUT,BEL,AUT-BEL,6.0,0.3,0.7,2.8284271247461903,5,0,1.0,2.0,1.0,1.0,1.0,0.22841398653096456,0.7715860134690354,2,,3,,False,unknown
2007,AUT,CAN,AUT-CAN,8.0,0.4,0.6,4.0,5,0,1.0,1.0,1.0,2.0,3.0,0.4850333788843172,0.5149666211156828,2,,1,,False,unknown
2007,AUT,CZE,AUT-CZE,10.0,0.5,0.5,4.69041575982343,5,0,2.0,1.0,2.0,2.0,3.0,0.3131596356057671,0.6868403643942329,2,,2,,True,unknown
2007,AUT,DEU,AUT-DEU,6.0,0.3,0.7,3.4641016151377544,4,1,0.0,3.0,1.0,1.0,1.0,0.223221329772047,0.776778670227953,2,,4,,False,unknown
2007,AUT,DNK,AUT-DNK,7.0,0.35,0.65,3.872983346207417,4,1,2.0,1.0,0.0,1.0,3.0,0.3340140611876701,0.6659859388123299,2,,1,,False,unknown
2007,AUT,ESP,AUT-ESP,8.0,0.4,0.6,4.242640687119285,4,1,2.0,3.0,2.0,0.0,1.0,0.3097490188433915,0.6902509811566084,2,,2,,True,unknown
2007,AUT,EST,AUT-EST,12.0,0.6,0.4,5.656854249492381,5,0,3.0,1.0,3.0,2.0,3.0,0.38362939621073333,0.6163706037892667,2,,1,,False,unknown
2007,AUT,FIN,AUT-FIN,6.0,0.3,0.7,3.1622776601683795,4,1,1.0,2.0,0.0,2.0,1.0,0.2709159597394686,0.7290840402605314,2,,1,,False,unknown
2007,AUT,FRA,AUT-FRA,4.0,0.2,0.8,2.449489742783178,3,2,0.0,2.0,1.0,0.0,1.0,0.20144211309197854,0.7985578869080214,2,,3,,False,unknown
2007,AUT,GBR,AUT-GBR,8.0,0.4,0.6,4.242640687119285,4,1,1.0,0.0,2.0,2.0,3.0,0.2602221356647028,0.7397778643352972,2,,1,,False,unknown
