file_name,processed_exists,diagnostics_exists,tables_exists
master_country_year_panel.csv,True,True,True
master_country_year_panel_data_dictionary.csv,True,True,True
master_variable_coverage_summary.csv,True,True,True
structural_snapshot_final5_2007_2019.csv,True,True,True
structural_snapshot_final5_complete_cases.csv,True,True,True
structural_snapshot_final5_score_parameters.csv,True,True,True
final5_ordering_variable_score_map.csv,True,True,True
master_structural_snapshot_coverage.csv,True,True,True
final5_score_range_summary.csv,True,True,True
master_problem_cases.csv,True,True,True
snapshot_volatility_leakage_check.csv,True,True,True
report_ready_scope_and_measure_note.csv,True,True,True
methodological_decision_updates_master.csv,True,True,True
